特别提示：
1.本记账单内容可表明支付宝受理了相应记账明细申请，因系统原因或通讯故障等偶发因素导致本记账单与实际记账结果不符时，以实际记账情况为准；
2.请勿将本记账单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作;
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本记账单进行重复记账;
4.本记账单如经任何涂改、编造，均立即失去效力；
5.部分记账如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.禁止将本记账单用于非法用途；
7.本明细仅展示当前记账本中的明细，不包括己删除的记录；
8.本明细仅供个人记账使用。

记录时间,分类,收支类型,金额,备注,账户,来源,标签,
2026-05-31 19:15:39,餐饮,支出,12.54,NB 10度浓豆浆 1L等2类商品,招商银行,账单同步,,
2026-05-31 16:03:44,餐饮,支出,5.00,梅莲农贸市场停车场,招商银行,账单同步,,
2026-05-31 13:10:30,餐饮,支出,11.00,上海市闵行区铁邦餐饮店,招商银行,账单同步,,
2026-05-31 12:45:21,餐饮,支出,32.52,闵行区麻辣烫店,招商银行,账单同步,,
2026-05-30 21:10:19,爱车,支出,21.00,龙湖上海北城天街-缴费（沪E18605）,招商银行,账单同步,,
2026-05-30 19:46:55,生活服务,支出,53.70,我的快递,招商银行,账单同步,,
2026-05-30 12:08:12,爱车,支出,18.00,龙湖上海北城天街-缴费（沪E18605）,招商银行,账单同步,,
2026-05-29 21:23:21,休闲玩乐,支出,20.00,App Store & Apple Music,招商银行,账单同步,,
2026-05-29 16:38:50,爱车,支出,20.00,互联互通停车,招商银行,账单同步,,
2026-05-29 09:43:58,生活服务,支出,50.00,为17621187771话费充值,招商银行,账单同步,,
2026-05-29 09:16:55,生活日用,支出,0.90,秒发｜EJU日本留学考试全套资料｜备考2026,招商银行,账单同步,,
2026-05-29 08:48:15,生活日用,支出,0.50,秒发｜EJU日本留学考试全套资料｜备考2026[火][火][,招商银行,账单同步,,
2026-05-28 19:07:11,爱车,支出,35.00,上海联合大厦三楼停车场-停车费用-沪E18605-5236480826258019165,招商银行,账单同步,,
2026-05-28 11:54:33,爱车,支出,300.00,加油,招商银行,账单同步,,
2026-05-27 20:11:10,生活日用,支出,869.75,飞机杯男用品真人半身体倒模膜自慰器真实处女成人性玩具情趣娃娃,浦发银行,账单同步,,
2026-05-27 19:33:06,休闲玩乐,支出,90.00,张晶,招商银行,账单同步,,
2026-05-27 15:51:51,餐饮,支出,5.00,梅莲农贸市场停车场,招商银行,账单同步,,
2026-05-27 09:28:44,投资理财,不计收支,50.00,蚂蚁财富-博时中证红利低波动100指数A-买入,招商银行,账单同步,,
2026-05-27 09:28:10,投资理财,不计收支,30.00,蚂蚁财富-易方达中证红利ETF联接A-买入,招商银行,账单同步,,
2026-05-27 09:27:36,投资理财,不计收支,100.00,蚂蚁财富-富国中债7-10年政策性金融债ETF联接C-买入,招商银行,账单同步,,
2026-05-27 09:11:35,投资理财,不计收支,10.00,富国上海金ETF联接C-买入,,账单同步,,
2026-05-27 09:03:22,投资理财,不计收支,20.00,蚂蚁财富-国泰CES半导体芯片行业ETF联接E-买入,招商银行,账单同步,,
2026-05-26 21:29:51,餐饮,支出,12.00,沪E18605-上海静安大悦城,招商银行,账单同步,,
2026-05-26 21:26:08,餐饮,支出,92.00,争鲜寿司PLUS(静安大悦城)-扫码付-YYDP87901-260526-01262057(001),招商银行,账单同步,,
2026-05-26 09:36:46,投资理财,不计收支,10.00,蚂蚁财富-摩根纳斯达克100指数(QDII)A-买入,招商银行,账单同步,,
2026-05-26 09:36:43,投资理财,不计收支,100.00,蚂蚁财富-摩根标普500指数(QDII)A-买入,招商银行,账单同步,,
2026-05-25 20:39:43,爱车,支出,27.00,龙湖上海北城天街-缴费（沪E18605）,招商银行,账单同步,,
2026-05-25 17:19:57,学习,支出,12.00,漫币充值,招商银行,账单同步,,
2026-05-25 17:02:32,休闲玩乐,支出,54.00,扫收钱码付款-给中国体育彩票,招商银行,账单同步,,
2026-05-25 16:34:13,餐饮,支出,33.96,杨国福(宝山陆翔路店),招商银行,账单同步,,
2026-05-24 13:16:43,爱车,支出,6.00,VPK_G001Z001C0239_上海宝乐汇印象城_沪E18605_6.00,招商银行,账单同步,,
2026-05-24 12:54:35,餐饮,支出,43.10,阿食云南生烫牛肉米线（宝乐汇店）,招商银行,账单同步,,
2026-05-24 12:04:52,爱车,支出,20.00,上海联合大厦三楼停车场-停车费用-沪E18605-5565807954533969107,招商银行,账单同步,,
2026-05-24 07:56:43,其他,支出,10.00,杭州深度求索,招商银行,账单同步,,
2026-05-23 21:11:18,爱车,支出,18.00,龙湖上海北城天街-缴费（沪E18605）,招商银行,账单同步,,
2026-05-23 19:00:32,购物,支出,46.72,DP转Mini HDMI线笔记本电脑显卡接便携显示器高清视频连接线4K@60,招商银行,账单同步,,
2026-05-23 17:50:29,爱车,支出,300.00,加油,招商银行,账单同步,,
2026-05-23 12:39:16,爱车,支出,21.00,龙湖上海北城天街-缴费（沪E18605）,招商银行,账单同步,,
2026-05-23 12:20:48,餐饮,支出,15.00,兰州牛肉面上海陆翔路店,招商银行,账单同步,,
2026-05-23 00:51:13,其他,支出,69.00,即梦订阅服务,招商银行,账单同步,,
2026-05-22 19:44:16,餐饮,支出,91.30,HM 鲜生店 45克无纺布购物袋大号540*400mm等3类商品,招商银行,账单同步,,
2026-05-22 19:08:05,借还款,不计收支,459.84,信用卡还款（浦发银行尾号8739）,浦发银行,账单同步,,
2026-05-22 19:01:27,借还款,不计收支,716.88,主动还款-花呗|信用购2026年05月账单,招商银行|花呗,账单同步,,
2026-05-21 16:47:05,餐饮,支出,107.70,肯德基,招商银行,账单同步,,
2026-05-20 20:13:01,爱车,支出,8.00,沪E18605_上海宝杨宝龙悠悠临停缴费,招商银行,账单同步,,
2026-05-20 19:49:00,餐饮,支出,27.58,老乡鸡（上海宝山宝杨宝龙店）,招商银行,账单同步,,
2026-05-20 11:19:03,借还款,不计收支,1，034.83,自动还款-花呗|信用购2026年05月账单,招商银行|花呗,账单同步,,
2026-05-20 09:29:22,投资理财,不计收支,50.00,蚂蚁财富-博时中证红利低波动100指数A-买入,招商银行,账单同步,,
2026-05-20 09:28:49,投资理财,不计收支,30.00,蚂蚁财富-易方达中证红利ETF联接A-买入,招商银行,账单同步,,
2026-05-20 09:28:09,投资理财,不计收支,100.00,蚂蚁财富-富国中债7-10年政策性金融债ETF联接C-买入,招商银行,账单同步,,
2026-05-20 09:12:30,投资理财,不计收支,10.00,富国上海金ETF联接C-买入,,账单同步,,
2026-05-20 09:03:27,投资理财,不计收支,20.00,蚂蚁财富-国泰CES半导体芯片行业ETF联接E-买入,招商银行,账单同步,,
2026-05-19 21:27:20,其他,支出,60.00,600钻石,招商银行,账单同步,,
